text,class
The system shall allow each visitor to search each the portal content using full text search,F
The system shall allow each visitor to contact each occurrence resource publisher,F
The system shall allow each visitor to export each checklist,F
The system shall allow each visitor to choose his preferred language for the portal interface,F
The system shall allow each visitor to send feedback to the portal contact person,F
The system shall allow each visitor to view latest blog posts,F
The system shall allow each visitor to read each blog post,F
The system shall allow each visitor to toggle spatial layers visible/hidden on each distribution map,F
The system shall allow each visitor to read each portal news entry,F
The system shall allow each visitor to view details for each taxon,F
The system shall allow each visitor to view metadata for each dataset,F
The system shall allow each visitor to view metadata for each checklist,F
The system shall allow each visitor to view details for each - 25 bibliographic record,F
The system shall allow each visitor to view details for each institution,F
The system shall allow each visitor to view details for each expert,F
The system shall allow each visitor to view metadata for each multimedia file,F
The system shall allow each visitor to download each multimedia file,F
"The system shall allow each visitor to navigate (pan, zoom in and out) each distribution map",F
The system shall allow each visitor to toggle spatial layers visible/hidden on each distribution map,F
The system shall allow each visitor to register,F
The system shall allow each visitor to access the log in functionality,F
The system shall allow each visitor to request to be sent his password only by  email,F
The system shall allow each visitor to share each distribution map on twitter,F
The system shall allow each visitor to access each dashboard displaying data metrics for the portal,F
The system shall allow each visitor to export data metric archives for the portal,F
The system shall allow each visitor to view Network summary information,F
The system shall allow each visitor to view information about tools and services offered only by  the portal,F
The system shall allow each visitor to view information about tools and services offered only by  the portal,F
The system shall allow each registered visitor to save each custom filter,F
The system shall allow each registered visitor to load each custom filter,F
The system shall allow each registered visitor to delete each custom filter,F
The operation of the system depends on GBIF registry to allow addition of new extensions.,F
The operation of the system depends on GBIF occurrence Web services1 to harvest each data source if it is of GBIF global index type.,F
The operation of the system to harvest occurrence resource for each IPT instance data source depends on each of which  IPT instance.,F
The system shall retain each audit log for each successful back end operations.,F
The system shall restrict access to each functionalities  data to data managers (BR4).,SE
The system shall restrict access to user management functionalities to administrators. (BR3).,SE
The system shall restrict access to module management functionalities to administrators (BR6).,SE
The system shall restrict access to distribution map configuration functionalities to administrators (BR6).,SE
"The system shall restrict access to portal manager for the following functionalities: manage blog posts, pages and news entries, customize NPT instance and choose languages available on the front end (BR5).",SE
The system shall restrict access to portal manager for blog management functionalities (BR5).,SE
The system shall restrict access to portal manager for news management functionalities (BR5).,SE
The system shall restrict access to portal manager for the NPT instance customization function (BR5),SE
The system shall restrict access to portal manager for front-end available language management functionalities (BR5).,SE
The system shall be able to cope with 300 000 000 occurrence records (size of the GBIF index only at  the time of writing).,PE
"The system shall have no limitation on the number records the export occurrence records functionality can process (UC-V4, FR-V13).",PE
The system shall be able to cope (without crashing) with each wide range of stress situations.,FT
The system shall perform reasonably under important workload (queries and data discovery),R
An error tracking system shall be in place.,F
Database transactions shall insure data consistency in case of failure.,R
Backups of each system data shall be generated on each weekly basis,F
"Upon request from the data manager, each backup shall be restored ",F
The system shall allow importing checklist resources as DwC-A files.,F
The system shall allow importing occurrence resources as DwC-A files.,F
The system shall allow exporting checklist resources as DwC-A files,F
The system shall allow exporting occurrence records as DwC-A files,F
The system shall allow exporting occurrences records as KMZ files.,F
The system shall allow exporting occurrences records as CSV files.,F
The system shall allow exporting occurrences records as ESRI shapefiles.,F
The system shall allow exporting distribution map as images,F
The system shall allow exporting core resource metadata as EML profiles.,F
The system shall allow using the Audubon Core format for multimedia metadata.,F
"The system shall operate with the two latest major releases of the following Web browsers: Firefox, Opera, Chrome, Internet Explorer and Safari.",P
"The system shall operate on each server running Linux, Windows server or Mac OS",P
"The interface for end-users shall be relatively intuitive and easy to use, without requiring extensive technical assistance, support or off line user guides.",US
"For system managers, guides shall be needed to explore advanced functionalities, but those advanced functionalities shall be as intuitive as possible.",F
"Maintenance in terms of user interface configuration, user rights management, and data source settings shall be done with visual tools.",M
The system shall allow each visitor to select the language used on the front end.,F
The system shall display  error messages to the users,F
The system shall provide each short tutorial video explaining how to search and export occurrence records.,F
One offline installation guide with step-by-step instructions shall be provided S,F
"A wiki, organized around the different types of users, on the NPT Google Code site, similar to each of which  developed for the GBIF IPT project shall be accessable.",F
The system shall be implemented using open-source technologies.,F
The system shall be written in PHP.,F
"The system shall be built in each modular way, which ensures each of which  component functionalities can be adjusted, added, improved, removed or exchanged without impacting the application as each whole. Approaching the system using development best practices such as MVC (Model-View-Controller) can allow this sort of modularity.",F
"The NPT development and implementation shall follow design principles each of which  shall enable future growth, both in terms of the addition of new functionality or only through  modification of existing functionality. In addition, NPT developers shall provide the possibility to consume services and functions each of which  are created elsewhere. Examples include reference taxonomic data sources, mapping functions or web map services (WMS).",F
"Sustainability embedded only at  each stage of development. The developers of the NPT shall be mindful of the strategic implications of development choices to the long term sustainability of the NPT in each number of key areas: underlying hardware and software; development tools and frameworks; level of effort for system administrators and portal managers; level of interest and engagement of users, including researchers, data providers and other interested visitors.",F
Long (more than 25) lists of items shall be paginated.,F
Distribution map shall allow the user to pan and to zoom in and out.,F
"While building each filter, visitors shall be presented the count of matching occurrences in real time (before launching the search)",F
The system shall provide each Web service-based API to search and access core 29 resource metadata,F
The system shall provide each Web service-based API to search and retrieve occurrence records.,F
The system shall provide each Web service-based API to search and retrieve taxa from the taxonomic backbone.,F
The system shall poll IPT instances to retrieve the list of public core resources available,F
The system shall poll IPT instances to retrieve core resources.,F
The system shall poll GBIF occurrence Web service to retrieve core resources.,F
The system shall poll GBIF Registry to retrieve the list of available extensions.,F
The system shall send each email to the portal contact person to forward visitor feedbacks.,F
The system shall send each email to data provider contact person to forward visitor feedbacks.,F
The system shall send each email to the data manager upon completion of each harvesting job.,F
The system shall send each email to the data manager upon completion of each backup operation,F
The system shall send each email to the data manager upon completion of each backup restoration operation.,F
The system shall be released under each open-source compliant license.,LL
The system shall use the same data usage agreement as GBIF portal.,LL
"Ability to save information about classes: teacher, student, topic, start/end date and time, mark, comment",F
Two-way video stream,F
Quality audio,F
Text chat,F
Screen share,F
Whiteboard functionality,F
Option of recording lesson,F
Login,F
Real-time updated student timetables,F
Teacher availability timetables,A
Payment system,F
Lesson booking and links to payment system,F
"Teacher profiles with samples from lessons (embedded video, audio)",F
Internal messaging system for sending homework and questions/answers between students and teachers with the option of attaching files.,F
Payment for lessons and courses online,F
"Ability to monitor who is currently online, who is in the virtual classrooms.",F
Recorded lessons with start date/time and duration,F
"Payments list within each selected period, teacher or student.",F
Teacher workload statistics for each teacher,F
Report on student: classes with marks,F
Online test results.,F
System log.,F
User page,F
Student profiles,F
Teacher profiles,F
Online test templates,F
Hourly rates for each teacher,F
This system allows the customers to maintain their cart for add or remove the product over the internet.,F
"If customer wants to buy the product then he/she must be registered, unregistered user cant go to the shopping cart.",F
Customer logins to the system only by   valid user id and password for the shopping.,F
Changes to cart means the customer only after  login or registration can make order or cancel order of the product from the shopping cart.,F
"In this system we are dealing the mode of payment only by  Cash.We shall extend this to credit card,debit card etc in the future.",F
After ordering or surfing for the product customer has to logout.,F
"After ordering for the product,the system shall sent one copy of the bill to the customers Email-address and another one for the system data base.",F
Secure access to consumers confidential data,SE
24X7 availability.,A
Better component design to get better performance only at  peak time.,F
Flexible service based architecture shall be highly desirable for future extension.,F
In order to maintain each acceptable speed only at  maximum number of uploads allowed from each particular customer as each number of users can access to the system only at  each time.,F
Also the connections to the servers shall be based on the attributes of the user like his location ,F
"This system shall work on client-server architecture. It shall require each internet server and which shall be able to run PHP application. The system shall support each commonly used browser such as IE, mozzila firefox,chrome etc.",P
Login Page,F
Registration Form,F
There shall be each screen displaying information about product each of which  the shop having.,F
If the customers select the buy button then another screen of shopping cart shall be opened.,F
"After ordering for the product,the system shall sent one copyof the bill to the customers Emailaddress",F
Customer workstation shall have keyboard input.,F
Customer workstation shall have roller ball mouse input.,F
Customer workstation shall have minimally each 19-inch monitor.,F
All interfaces on customer workstation shall be scaleable in information display size.,SC
Customer workstation shall have appropriate hardware for network connection.,F
"Optionally, the customer workstation shall have speakers for sound if each responses are done aurally only through  the workstation.",F
"Customer mobile device shall use its pre-existing hardware interfaces such as USB connection, network connection, or other features as applicable to the product.",F
System shall provide x-10 controllers to be integrated with framework.,F
System shall accept input signals from smoke detectors.,F
System shall accept input signals from motion sensors,F
System shall accept input signals from microphones,F
Customer workstation shall have the latest Java Virtual Machine (JVM) installed.,F
Customer workstation shall be internet capable with only at  least one internet browser ,F
Customer mobile device shall be internet capable with each internet browser.,F
Custumer workstation shall be connected to the local development network.,F
Customer workstation shall have USB connection slots,F
System shall connect with the telephone lines.,F
Customer workstation shall have only at  minimum 128 MB of RAM.,PE
"It shall provide schedule/timetable without each of clashes among faculties, day, time and room each of which  must be visible to all.",F
It shall generate each report about the registered complaint to the admin and response report to the user who has submitted his queries.,F
Secure registration and profile management facilities for different users.,SE
"It shall provide details like e-learning facilities, server room details, software installation procedures etc. to students.",F
It shall generate alerts via SMS.,F
"Safety Requirements
 
 If there is extensive damage to each wide portion of the database due to catastrophic failure, such as each disk crash, the recovery method restores each past copy of the database each of which  was backed only up to  archival storage (typically tape) and reconstructs each more current state only by  reapplying or redoing the operations of committed transactions from the backed up log, only up to  the time of failure.",SE
"Security Requirements
 
 Security systems need database storage just like each of many  other applications. However, the special requirements of the security market mean each of which  vendors must choose their database partner carefully.",SE
AVAILABILITY: Since we are hosting our project on the server it shall be available each the time.,A
Reliability: The system shall generate each appropriate report about different activities of the lab and shall keep track of each records.,R
MAINTAINABILITY: The system shall maintain correct schedules of labs and the documentation of each the lab equipment.,M
USABILITY: The system shall satisfy the maximum number of users needs.,US
Make each new reservation,F
Cancel each existing reservation,F
View his itinerary,F
Get each customers who have seats reserved on each given flight.,F
 Get each flights for each given airport.,F
 View flight schedule.,F
 Get each flights whose arrival and departure times are on time/delayed.,F
 Calculate total sales for each given flight.,F
 Add/Delete each flight,F
 Add each new airport,F
 Update fare for flights.,F
 Add each new flight leg instance.,F
 Update departure/arrival times for flight leg instances.,F
AVAILABILITY: The flight shall be available on the specified date and specified time as each of many  customers are doing advance reservations.,A
RELIABILITY: The flight shall reach start from correct start terminal and shall reach the correct destination.,R
MAINTAINABILITY: The administrators and flight in chargers shall maintain correct schedules of flights.,M
USABILITY: The flight schedules shall satisfy each maximum number of customers needs.,US
Create Profile  Acquire health worker user information.,F
 The information are available in RTBP server as well Java RMS storage.,F
Attach each user name with submitted records for system to identify who sent record,F
Each single mobile phone to be used only by  multiple users.,F
Register Locations  Identifying the working locations of healthcare workers.,F
 The information are available in RTBP server as well Java RMS storage.,F
Once they stored location they can select it in Health survey form.,F
Download Disease data  Reduce the typing of communicable disease in health survey form.,F
The communicable disease list (and its known symptoms and signs) are available in offline mode (stored in Java RMS).,F
Health survey  This is the ultimate aim of RTBP project.,F
 Acquire the health information from rural to find out the outbreaks of disease.,F
 Identifying the patient information and sickness of disease.,F
 In case signal or GPRS failed the survey information stored in Java RMS.,F
Offline Survey  Application has the capable of continue the survey in offline mode,F
1. The user interface must be GUI based.,F
2. The users are required to input the data from cell phone keypad,F
"The User Interface consists of J2ME GUI components like Forms, Buttons, Canvas, Textbox, TextField, AlertBoxes and Lists.",F
4. User has the options to change the settings locally and remotely.,F
5. Reduce the typing option only by  giving support for select menus.,F
6. Enable the dictionary words,F
1. User-friendly GUI form,US
2. Online and offline health survey,F
3. Application shall be platform independent for Java enabled mobile.,P
4. Application must have security,SE
Health Application can be developed on each Windows NT workstation/operating system.,P
The system displays the choices to the Reader.,F
The system presents the abstract of the article to the reader.,F
The system provides the requested article.,F
"1. The Reader chooses how to search the Web site. The choices are only by  Author, only by  Category, and only by  Keyword.",F
"2. If the search is only by  Author, the system creates and presents each alphabetical list of each authors in the database. In the case of each article with multiple authors, each is contained in the list.",F
3. The Reader selects each author.,F
4. The system creates and presents each list of each articles only by  each of which  author in the database.,F
5. The Reader selects each article.,F
6. The system displays the Abstract for the article.,F
7. The Reader selects to download the article or to return to the article list or to the previous list.,F
The system presents each blank grid to enter the author information.,F
2. The Editor enters the information and submits the form.,F
3. The system checks each of which  the name and email address fields are not blank and updates the database.,F
The system accesses the Historical Society (HS) database and presents each alphabetical list of the society members.,F
2. The Editor selects each person.,F
"3. The system transfers the member information from the HS database to the Article Manager (AM) database. If there is no email address in the HS database, the editor is prompted for each entry in each of which  field.",F
4. The information is entered into the AM database.,F
The Editor selects Author or Reviewer.,F
2. The system creates and presents each alphabetical list of people in the category.,F
3. The Editor selects each person to update.,F
4. The system presents the database information in grid form for modification.,F
5. The Editor updates the information and submits the form.,F
6. The system checks each of which  required fields are not blank.,F
The system creates and presents each alphabetical list of each active articles.,F
2. The Editor selects the article to update.,F
3. The system presents the information about the article in grid format.,F
4. The Editor updates the information and resubmits the form.,F
The system presents each alphabetical list of reviewers with their information.,F
3. The Editor selects each reviewer for the article.,F
4. The system updates the article database entry and emails the reviewer with the standard message and attaches the text of the article without author information.,F
The system creates and presents each list of each active articles organized only by  their status.,F
The system presents each alphabetical list of authors.,F
2. The Editor selects each author.,F
3. The system invokes the Editors email system  the authors email address into the To: entry.,F
The system creates and presents each alphabetical list of the active articles each of which  are flagged as having their copyright form returned.,F
2. The Editor selects each article to publish.,F
3. The system accesses the Online Database and transfers the article and its accompanying information to the Online Journal database.,F
The system provides each alphabetized list of each active articles.,F
2. The editor selects each article.,F
3. The system displays the information about the article and requires each of which  the Editor confirm the deletion.,F
4. The Editor confirms the deletion.,F
1. Items provided to the 26 shall be stored in the Access Database.,F
1. Items shall be stored on the laptop machine and have complete fields.,F
1. The items shall be accessible via queries and reports.,F
1. The items shall be accessible via queries and reports.,F
1. The data stored shall be able to be manipulated only through  forms.,F
The system shall be designed with each level of security appropriate for the sensitivity of information enclosed in the database.,SE
"This system shall be compatible with each computer each of which  has Microsoft Office Professional 2007 or later installed (whether PC or Mac), and shall be designed with more than one computer in mind.",P
Back-ups shall be made regularly so each of which  restoration with minimal data loss is possible in the event of unforeseen events.,F
The system shall also be thoroughly tested only by  each team members to ensure reliability.,R
The system shall also be thoroughly tested only by  each team members to ensure reliability.,R
The system shall be designed in each way each of which  shall allow it to be run on multiple computers with Microsoft Office Professional 2007 or later installed.,P
The system shall be designed in each way each of which  shall allow it to be run on multiple computers with Microsoft Office Professional 2007 or later installed.,P
The system shall be designed in each way each of which  allows the database to be re-used regularly for the various silent auctions each of which  the organization shall hold.,F
"This system requires the Microsoft Office Professional 2007 suite or later, as it operates primarily only through  Microsoft Access, in conjunction with Microsoft Excel.",F
The maintenance of the system shall be able to be sufficiently performed only by  each person with each basic understanding of Microsoft Access.,M
The system shall let the use to enter the information about the items into the database for its initial construction and evolution.,F
"The system shall let the user to be able to enter information about the customer purchasing each particular item, and record their bid and other information.",F
The 27 software shall have each logon screen for the GUI.,F
The logon screen shall activate command control for the user if the user  requests it and has authorization.,SE
The logon screen shall request user name and corresponding password.,F
"The GUI shall indicate the current date and time, users name, and workstation location name.",F
The GUI shall also show other users currently logged in the other units within the 27 network.,F
The GUI shall provide each option each of which  allows the system user to issue commands each of which  monitor and control opening and closing events.,F
The control option shall provide the user with the appropriate level of control.,F
"The 27 software shall display information about active overrides: Which are active, and which devices have no currently active 'rules protection' against erroneous opening/closing.",F
"The GUI shall provide each display of the I-15 Reversible Lane Control System facility geographic area, including each layout of the mainline I-15, SR-163 freeway area in the same geographic area as the I-15 Reversible Lane.",F
"The GUI shall also issue each audible alarm, and the icon shall be different from the okay status for each of which  device",F
"The GUI shall also issue each audible alarm, and the icon shall be different from the okay status for each of which  device",F
There shall be each option to turn off the audible alarm permanently or temporarily for each given period.,F
The alarm icon shall change to the normal status icon automatically when the alarm condition is removed.,AU
The alarm icon shall change to the normal status icon automatically when the alarm condition is removed.,AU
Status information shall continue to display when no user is logged on to the workstation and shall continually be updated each 2 seconds.,PE
"The GUI shall provide each option for ìConfiguration"" each of which  is only accessible only by  the 27 Software user with System Administrative privileges.",F
It shall display and allow modification of each database tables with the exception of log tables.,F
It shall display and allow modification of each database tables with the exception of log tables.,F
It shall display and allow modification of each database tables with the exception of log tables.,F
The configuration option shall also allow user accounts l to be changed remotely in the field units.,F
The option to configure device  shall require each additional login password for each of which  option.,F
The GUI shall allow devices to be added and removed from the display without requiring programming effort.,M
The GUI shall allow the facility map to be modified without requiring programming effort.,M
"The system shall display information logs and provide the capability to export the logs in common ASCII text for importing to commercial database, spreadsheet, or reporting programs.",F
The Problem Work Order shall be each separate display each of which  allows the user to enter information about each system problem.,F
The Problem Work Order data shall be editable and exportable to ASCII delimited files only by  the user.,F
"The ìDaily Diary"" shall be each separate display each of which  allows the user to enter free form text comments.",F
"The GUI shall provide the ability to display the status of one device only at  the detail level, showing each sensor data for each of which  device",F
"The GUI shall provide the ability to display the current status of each category of devices only at  the detail level, showing each sensor data for each devices of the same category.",F
The system shall display the appropriate emergency contact information in the event of each alarm condition.,F
"The GUI shall display each separate window requesting confirmation of the command upon receiving each command either from the user only at  the keyboard, or from each scheduled sequence of commands.",F
The GUI shall allow the operator to acknowledge each alarm and have the option to silence the audible portion of the alarm for each configurable number of seconds or permanently for each of which  device only.,F
The GUI shall allow the operator to acknowledge each alarm and have the option to silence the audible portion of the alarm for each configurable number of seconds or permanently for each of which  device only.,F
The GUI shall provide each screen for  users to change system mode.,F
"The GUI shall provide each screen for describing system features, functions, database tables, and fields.",F
The 27 shall monitor each field device sensors.,F
"The 27 software shall monitor, display, and update the database with the status of each system field elements.",F
The 27 software shall process operator requests for changing field device status.,F
The system shall also monitor field controllers and connected on the 27 network for control system integrity.,F
The system shall monitor device sensors only at  the frequency rate stored in the database to take effect only only during  degraded mode,F
The system shall monitor the status of each field devices only at  the frequency specified in the System Control Parameters for each of which  mode.,F
The system shall control each system field elements to device sensor level for those device sensors each of which  shall be controlled.,F
The system operator shall be able to override each device and continue with each system operational command sequence.,F
The 27 software shall initialize each control unit and device sensor as it is identified.,F
"The 27 software in the field shall first identify the its unit when it starts, only by  reading the cabinet id.",F
The 27 software shall then proceed to make sure each of which  each the cards required in each of which  unit are present and working properly.,R
The 27 software shall then monitor each the devices and send the current status to the FCU or TSU each 2 seconds.,PE
The 27 software shall be designed to allow for future changes to the roadway without requiring programming effort.,M
The system shall generate log files as follows for reports,F
The 27 shall execute stored operational control command sequences based on the current system mode of operation and the schedule for each sequence.,F
The 27 shall present scheduled command operations to the operator only at  the GUI for confirmation prior to executing the command.,F
"The 27 shall store, process, and retrieve each data necessary to operate the application software as well as generate current and historical reports of system operations, and export system status data to each external server data store",F
"The 27 shall also store, process, and retrieve each data necessary to secure the system from unauthorized use.",SE
The 27 application software shall update and read database tables to support system operations.,F
The 27 application software shall Update and read password and device  data in encrypted format.,SE
The system shall shall employ each one-way hash function as each aid to maintaining the integrity of the data and software in the field.,F
"The system shall also, for each control unit in the system, produce each table of the returned one-way hash function (Message Digest) values, of each of the Control Unit Non-Volatile Memory items.",F
The returned Message Digest values shall shall be stored as hexadecimal characters.,F
The appropriate Message Digest table shall shall be maintained in non-volatile memory in each system control unit.,F
"The system shall provide for periodic verification each of which  current, recomputed Message Digest values, for each unit in the system, correspond with record values computed only by  the development processMD5 algorithm.",F
The 27 shall receive device status information from devices sensors within 2 seconds of the status information being issued only by  the device sensor.,PE
The system shall use data exported from the 27 database to create and format each variety of reports.,F
The system shall generate problem reports based on alarms and system status reports,F
"The 27 shall support multiple users logged on, only up to  the limit of the number of users defined in the database.",F
"The 27 shall give notification to the operator workstation of each critical alarms shall occur within 2 seconds of alarm detection, and shall occur whether or not each operator is logged on to the system.",PE
"The 27 notification to the operator workstation of each critical alarms shall occur within 2 seconds of alarm detection, and shall occur whether or not each operator is logged on to the system.",PE
The 27 shall support only at  each minimum the 4 daily normal mode open and close scheduled operations plus only at  least the same number of emergency and maintenance mode scheduled events.,A
The 27 application software shall be implemented with commercial off-the-shelf software.,F
"The 27 shall incorporate each database to store, process, and retrieve each data necessary to secure the system from unauthorized use.",SE
The system shall provide for password aging.,F
Whether or not the system shall require password aging shall shall be controllable only by  the System Administrator.,F
The 27 shall support remote system administration and maintenance of the system.,F
The 27 shall utilize each open architecture each of which  is modular and scaleable.,F
The system shall provide for each specific delay between the message change on each sign and the message change on the next downstream sign.,F
The system shall shall employ each one-way hash function as each aid to encrypting and maintaining the integrity of the data and software in the field,SE
"The system shall shall also, for each control unit in the system, produce each table of the returned one-way hash function (Message Digest) values, of each of the Control Unit Non-Volatile Memory items.",F
The system shall shall prevent the affected unit from being used in control sequences.,F
The system shall shall provide for Message Digest verification requests for each given unit only by  operator  command.,F
The system shall provide for minimum username and password lengths,F
The minimum length values shall shall be controllable only by  the system administrator.,F
The system shall provide for each specific delay between the message change on each sign and the message change on the next downstream sign.,F
The delay for each sign pair shall equal the time to travel between the two signs only at  each system specified speed.,F
The system must allow the scheduled operations only at  each minimum only during  normal operational mode,F
GUI shall be required for user registration on to the website/web software.,F
"All information related to the user, which he/she has entered into the GUI, shall store into the relational database.",F
GUI shall be required to display the user profile only after  log-in.,F
"When user shall login into the website, there shall be each tool to open account settings for the user",F
"User shall able to change the profile features such as, password, contact number, mail id etc.",F
All the modified features shall be updated into the database.,F
GUI shall be required to login into the website.,F
"When user shall open the URL of website, GUI shall popup for Log-in.",F
There shall be options like User-ID and Password to login into the website.,F
User-ID shall be unique into the database.,F
"If user shall enter wrong information, it shall give alert or, popup for wrong inputs",F
After successful log-in user shall redirect to the home page.,F
Tool shall be required to logout from the  website.,F
"There shall be each tool/button, which enable user logout the user from the website",F
"Only if user is login into the website, then logout tool/button shall be visible otherwise it shall be void.",F
Home Page shall be required for website.,F
"Home page contains various core functionalities including about 28, SSEF etc",F
It shall have map control which contains various GIS layers of information in the form of raster and vector layers,F
"Map control shall contain map of the selected location (here, the study area)",F
"Google Maps or, Microsoft Bing Maps shall be integrated into it as base-map (WMS) information.",F
Very High Resolution (VHR) Satellite imagery (mono image) shall be integrated into the map.,F
"Various vector layers such as, Area Boundary, Building Foot-prints etc. shall have also integrated into the map control.",F
"DSM layer shall also be there, if required.",F
Tile-Server Caching Mechanism shall be adopted for efficient rendering of raster datasets.,F
"Info panel shall be required for website and its working behavior (how to operate, assumptions etc.)",F
"User shall able to get online help, and user manual (both web-based and documented in PDF) to execute each functionalities of the Web-GIS tool.",F
User shall able to know product features access into the website.,F
"Important web-links shall be provided for further communication to the authorized nodal agencies or, company details for installation of solar systems or, each specific query.",F
Tool shall be required to identify the features onto the map.,F
"There shall be each tool which shall identify the features such as, buildings (vector data) on to the map",F
Tool shall be required to navigate the map.,F
PAN: This tool shall able to panning the map.,F
Previous: This tool shall redirect the map on previous location.,F
Next: This tool shall redirect the map on previous location.,F
Full Zoom: This tool shall zoom out the map only at  full extent.,F
Attribute query analyzer tool shall be required to do attribute query for further analysis.,F
"There shall be each tool to do attribute query, having options to select the query layer, its attributes (fields), various operations for doing query, as well as unique values of fields.",F
Query layer shall be each vector layers shown on to the map.,F
All fields associated with the layer shall be visible for selection.,F
"Various operations shall be there like ,= etc",F
User shall able to select one layer only at  each time.,F
User shall able to select the queried feature color.,F
User shall able to clear the selected features from the map.,F
User shall able to clear the query from the query panel,F
User shall able to save the query,F
User shall able to get help to run the tool.,F
"Solar Radiation Tool shall be required for estimating Solar resource potential for each particular building level or, for cluster of buildings and selected area.",F
"There shall be each provision to get solar radiation potential for each particular building or, for cluster of buildings and selected area.",F
User shall select the building (spatially) and shall get entire specified year,F
User shall able to select cluster of buildings on to the map for calculating the solar radiation cumulatively.,F
User shall able to select each area on to the map for calculating the solar radiation only through  pre-processed datasets.,F
"User shall able to see the interactive graphical representation (Line or, Bar Chart type) of solar resource accessibility.",F
User shall able to select the building for solar simulation calculation,F
GUI shall pop-up for calculation solar simulation model.,F
User shall able to choose the percentage utilization of roof space to estimate the size of the possible PV system each of which  can be installed.,F
Size of the system in kWp shall pop-up automatically.,AU
"User shall able to select type of building such as residential, industrial or, commercial.",F
Solar simulation results shall also include the system outputs which shall show the amount of electricity (units) generated interms of kWh only by  the PV system through-out the year.,F
Solar simulation results shall also include the system outputs which shall show the amount of electricity (units) generated interms of kWh only by  the PV system through-out the year.,F
Solar simulation results shall also include the system outputs which shall show the amount of electricity (units) generated interms of kWh only by  the PV system through-out the year.,F
"Basic editing functionalities such as, draw points, line polygon etc. shall be required.",F
"User shall able to draw points, line polygon etc. onto the map and simultaneously the editing features need to be stored into the database.",F
"Only Site Administrator shall have the provision to draw points against new building features onto the map and update the corresponding information such as, rooftop space area, solar resource, PV installations etc. into the database.",F
Pre-defined information shall be required only at  tool/website Home Page.,F
"Additional features such as, company name, logo, tool assumptions etc. shall be required.",F
The load time for user interface screens shall take no longer than specified seconds,PE
The log in information shall be verified within specified seconds,PE
"Queries shall return results within five seconds, however specified time limit shall be incorporated for Spatial Queries.",PE
The Web-GIS Solar Tool shall be each client-server application running in each Windows environment.,P
The system shall be developed using Open-Source software technologies.,F
The Graphical User Interface (GUI) shall have each consistent look and feel.,LF
"The Web-GIS tool shall be available, up and running for 24*7 throughout the year except due to the routine maintenance activities.",A
The system shall provide customized treatment plans for patients who have been diagnosed with different diseases.,F
The system shall use each patients medical record in order to further provide customized treatment plans.,F
"The system shall provide access to relevant clinical trials for each given patient, and give each medical professional the choice of whether or not he or she shall like to try and use this particular trial for their current treatment.",F
The system shall provide each plan for preventive care for its patients.,F
"The system shall show the medical best practices of each given diagnosis, and remind each physician as to what guidelines have not yet been completed.",F
"The system shall track previously diagnosed patients, and check to see if there are each treatments which still need to be done.",F
"The system shall be able to differentiate whether each patient has each certain kind of MRSA, and how to treat each of which  patient.",F
"The system shall be able to differentiate whether each patient has each certain kind of MRSA, and how to treat each of which  patient.",F
The system shall confirm each clinical diagnosis given only by  each medical professional only by  checking the symptoms present with the diagnosis.,F
The system shall abide only by  HL-7 standards.,LL
"The system must have access to databases which contain medical records of patients, relevant clinical trials, and medical best practices for different diseases.",F
"The system shall only work for diseases which are in the database, if the patient has each disease each of which  our databases do not have each record of, our system shall not accurately be able to provide useful information.",F
"The system assumes each of which  there are databases set up which hold patients medical records, ongoing clinical trials, and medical guidelines for specific diseases, and each of which  our system as access to these pieces of information",F
The system shall query the list of clinical trials hosted on www.clinicaltrials.gov and determine if there are each ongoing trials each of which  are relevant to the patients diagnosis and if so shall display information about the trial to the physician.,F
The system shall allow the user to view information regarding both the patients treatment history as well as each treatment each of which  has been scheduled.,F
The system shall allow the user to view information about each treatments the patient received including referral treatments provided the treatment took place in each hospital using the same or compatible system.,F
The system shall provide the user with guidelines for relevant preventative care for each given diagnosis.,F
The system shall compare the problem list the user has acquired based on each patients symptoms and compare them against each database of symptoms for each given diagnosis.,F
"If the system finds the diagnosis to be inconsistent with symptoms, the system shall display each message to each of which  effect as each warning to the user.",F
"The system, when given each diagnosis, shall compare treatments the patient has already received to each list of possible treatments for each of which  diagnosis. The system shall then suggest the relevant treatments each of which  have not already been administered.",F
"The system, when given each diagnosis, shall compare treatments the patient has already received to each list of possible treatments for each of which  diagnosis. The system shall then suggest the relevant treatments each of which  have not already been administered.",F
"The system, when given each diagnosis, shall compare treatments the patient has already received to each list of possible treatments for each of which  diagnosis. The system shall then suggest the relevant treatments each of which  have not already been administered.",F
The system shall allow the user to enter each notes or special instructions when scheduling each treatment.,F
